relative_path,source_line_count,back_line_count,aligned_line_count,source_only_line_count,back_only_line_count,mean_rouge1_f1,mean_chrf,mean_bleu,mean_edit_similarity,mean_length_ratio,exact_match_rate
列传/第一章/target.txt,606,606,606,0,0,0.6190959161479773,0.23561876563893258,0.26789992891723224,0.48663972419185797,1.0324326087745785,0.0033003300330033004
列传/第七章/target.txt,809,811,809,0,2,0.4553924679225143,0.1837719422249456,0.21695474781897336,0.3564969605919587,1.1918174836617672,0.0
列传/第三章/target.txt,648,649,648,0,1,0.2929827903970477,0.09332398466336891,0.12018011207741616,0.20545540806217308,1.3058993249823598,0.0
列传/第九章/target.txt,527,528,527,0,1,0.555157771054692,0.21409857447759803,0.2423532142459892,0.4418104149636509,1.1157330866916444,0.0018975332068311196
列传/第二章/target.txt,316,316,316,0,0,0.6622219070451261,0.2871311539273357,0.3099231974760961,0.5395021334311281,1.0553657521865225,0.015822784810126583
列传/第五章/target.txt,429,429,429,0,0,0.626940970520573,0.24624738938322185,0.2737509525485029,0.4981958892652319,1.0472966601647757,0.0
列传/第八章/target.txt,442,442,442,0,0,0.6471054370122623,0.25940788917924795,0.2815848940090193,0.5246403461636401,1.0321042434565835,0.0022624434389140274
列传/第六章/target.txt,602,603,602,0,1,0.4198999753025138,0.14705841629433133,0.17196222141904774,0.3130442647614882,1.2086873578509079,0.0
列传/第十一章/target.txt,360,361,360,0,1,0.3166487247830972,0.09549151423687118,0.10460858116442093,0.2119875740557767,1.216585595001431,0.002777777777777778
列传/第十七章/target.txt,296,297,296,0,1,0.24386407382118938,0.06549448980494914,0.07936108938792247,0.14261045821181972,1.294086391458516,0.0
列传/第十三章/target.txt,641,642,641,0,1,0.4638236924156643,0.16462299012986753,0.17643496707502884,0.35186134237115957,1.145105550563601,0.0015600624024961
列传/第十二章/target.txt,458,459,458,0,1,0.47465205804669874,0.16545381918236665,0.18280271631423167,0.3583837732778162,1.15112813046563,0.0
列传/第十五章/target.txt,490,490,490,0,0,0.6157120480582998,0.24199278299195937,0.2626205970667999,0.4942029760819224,1.1191348554791931,0.0020408163265306124
列传/第十六章/target.txt,442,442,442,0,0,0.6181292937950603,0.22622349470415185,0.2527578018373904,0.45639449611753213,1.0536703823630662,0.0022624434389140274
列传/第十四章/target.txt,461,461,461,0,0,0.6484711620530828,0.2820404084965381,0.3126325616777307,0.5414998619415801,1.0952444650673767,0.006507592190889371
列传/第十章/target.txt,431,431,431,0,0,0.6256381808448895,0.2419700256658731,0.26146722044462367,0.4985633386213865,1.0383373768638298,0.013921113689095127
列传/第四章/target.txt,492,494,492,0,2,0.29561120018318787,0.09645452071074494,0.11336951217575991,0.199864287933246,1.3170978591439835,0.0
帝纪/第一章/target.txt,472,474,472,0,2,0.2214291188286973,0.06484030398813047,0.08251049349243522,0.13847565033814765,1.2313792048100993,0.00211864406779661
帝纪/第七章/target.txt,351,353,351,0,2,0.3519271702446471,0.14138181943633643,0.18272104775191955,0.27438788152334603,1.234248398857317,0.011396011396011397
帝纪/第三章/target.txt,636,636,636,0,0,0.6835585180703385,0.315265234443144,0.36574806248894004,0.5693375914909948,1.052484446007367,0.007861635220125786
帝纪/第九章/target.txt,448,448,448,0,0,0.7008699321662328,0.3317381346743106,0.3829739952829969,0.5875407876674015,1.0017542091282947,0.022321428571428572
帝纪/第五章/target.txt,420,420,420,0,0,0.68898289878242,0.29642169830093756,0.3487766401614078,0.567490118847746,0.9726762445532902,0.01904761904761905
帝纪/第八章/target.txt,450,451,450,0,1,0.5974976994421296,0.27854944451615543,0.3330741445943555,0.5004574326437108,1.0479201432906031,0.024444444444444446
帝纪/第十章/target.txt,408,409,408,0,1,0.587878914088057,0.2659066274068608,0.3199816593375656,0.4825975930736088,1.0512222937971027,0.0196078431372549
帝纪/第四章/target.txt,382,382,382,0,0,0.7434343437126978,0.37614033175782474,0.4360623115188025,0.6293868114875111,1.0381199282050473,0.01832460732984293
志/第三章/target.txt,1529,1535,1529,0,6,0.1967216523939922,0.041391454735584296,0.082323664779809,0.12275371606670017,1.1661554464772044,0.0
志/第九章/target.txt,664,664,664,0,0,0.6365520366922736,0.23906188344935714,0.2485317167271383,0.4790610530176533,0.9829234903388192,0.0
志/第二十章/target.txt,525,525,525,0,0,0.5985479828883434,0.2178461566200952,0.23736285978376187,0.4430988162079408,1.0167426363310363,0.0019047619047619048
志/第二章/target.txt,1024,1024,1024,0,0,0.6718692484835316,0.29120996006056216,0.3210184320447292,0.5431001425066362,1.0346436558123684,0.01171875
志/第五章/target.txt,467,470,467,0,3,0.1816150835246713,0.043772475804256014,0.0908405601392171,0.11764834156068926,1.4427655993305928,0.0021413276231263384
志/第八章/target.txt,529,530,529,0,1,0.3952665445232538,0.13782339290538795,0.15712652969325402,0.26174190646376355,1.3032310597154204,0.005671077504725898
志/第六章/target.txt,418,420,418,0,2,0.3591145897190957,0.1124519355156565,0.12238836005982556,0.24182417458560335,1.310134730415185,0.0
志/第十一章/target.txt,531,534,531,0,3,0.252710713332481,0.0684600644681924,0.08409065368304162,0.15573444702252925,1.2844887615825826,0.0
志/第十七章/target.txt,706,707,706,0,1,0.5530228072881378,0.22425119495525944,0.255299908190386,0.4314756246097108,1.1390072265805464,0.00424929178470255
志/第十三章/target.txt,703,704,703,0,1,0.31305456745227705,0.08874332193924418,0.13409139418285776,0.2310041008972772,1.2881845139389887,0.001422475106685633
志/第十九章/target.txt,946,946,946,0,0,0.7018818011042712,0.31380251239501666,0.3495552181972686,0.5607175946305947,1.043078230636679,0.009513742071881607
志/第十二章/target.txt,583,583,583,0,0,0.6045052783593555,0.20757703897313215,0.25324200481366266,0.46425922242195505,0.9863884563889714,0.0017152658662092624
志/第十五章/target.txt,584,584,584,0,0,0.6187074216894105,0.22448038726306543,0.2515294995445098,0.465402488212687,1.0412677051855224,0.003424657534246575
志/第四章/target.txt,833,838,833,0,5,0.13217664242978086,0.02642047516737236,0.06374380603140178,0.07941929622587703,1.6189024687813538,0.0
